batch,total_files,types
20251110_193830_layers5_batch8_kernel3_alpha0.7,2,csv:1;pt:1
20251110_194246_layers5_batch4_kernel3_alpha0.7,2,csv:1;pt:1
20251110_195252_layers5_batch4_kernel3_alpha0.7,2,csv:1;pt:1
20251113_155238_layers5_batch4_kernel3_alpha0.7,2,csv:1;pt:1
20251113_165737_layers7_batch8_kernel3_alpha0.6,2,csv:1;pt:1
20251114_163634_layers7_batch8_kernel3_alpha0.6,3,csv:1;png:1;pt:1
20251118_173836_layers7_batch6_kernel3_alpha0.4,3,csv:1;png:1;pt:1
20251118_194906_layers7_batch6_kernel3_alpha0.3,3,csv:1;png:1;pt:1
20251118_201734_layers7_batch6_kernel3_alpha0.4,2,csv:1;pt:1
20251125_165921_layers7_batch6_kernel3_alpha0.4,3,csv:1;png:1;pt:1
20251216_164813_layers7_batch6_kernel3_alpha0.1,3,csv:1;png:1;pt:1
20251229_115817_layers7_batch6_kernel3_alpha0.1,1,png:1
20251230_152811_layers7_batch6_kernel3_alpha0.1,7,csv:1;png:4;pt:2
20251230_173126_layers7_batch6_kernel3_alpha0.1,4,csv:1;png:2;pt:1
20251230_213013_layers7_batch6_kernel3_alpha0.08,3,csv:1;png:1;pt:1
20260105_194320_layers7_batch6_kernel3_alpha0.1,6,csv:1;png:4;pt:1
20260107_110833_layers7_batch6_kernel3_alpha0.2,7,csv:1;png:5;pt:1
20260107_194409_layers7_batch6_kernel3_alpha0.2,17,csv:1;png:15;pt:1
20260108_112808_layers7_batch6_kernel3_alpha0.12,10,csv:1;png:8;pt:1
20260109_115102_layers7_batch6_kernel3_alpha0.08,21,csv:1;png:19;pt:1
20260112_161131_layers7_batch6_kernel3_alpha0.1,10,csv:1;png:8;pt:1
20260113_094514_layers7_batch6_kernel3_alpha0.08,10,csv:1;png:8;pt:1
20260113_162502_layers7_batch6_kernel3_alpha0.08,22,csv:1;png:20;pt:1
20260114_164841_layers7_batch6_kernel3_alpha0.08,10,csv:1;png:8;pt:1
20260114_203426_layers7_batch6_kernel3_alpha0.08,2,csv:1;pt:1
20260420_104227_layers7_batch6_kernel3_alpha0.08,14,csv:1;png:12;pt:1
unmatched,79,csv:27;h5:1;no_ext:1;other:2;png:35;txt:5;yaml:8
