file,model_tag,dataset,mae,mse,psnr,ssim,preview
data\converted_h5\MS30013_txt.h5,20260113_162502_layers7_batch6_kernel3_alpha0.08,denoised_20260113_162502_layers7_batch6_kernel3_alpha0.08,94.81741333007812,36506.19140625,16.350915313417488,0.48915938202494275,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v6\previews\20260113_162502_layers7_batch6_kernel3_alpha0.08\MS30013_txt_20260113_162502_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30015_txt.h5,20260113_162502_layers7_batch6_kernel3_alpha0.08,denoised_20260113_162502_layers7_batch6_kernel3_alpha0.08,93.80905151367188,28613.724609375,15.838809095579311,0.4721760289659192,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v6\previews\20260113_162502_layers7_batch6_kernel3_alpha0.08\MS30015_txt_20260113_162502_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30017_txt.h5,20260113_162502_layers7_batch6_kernel3_alpha0.08,denoised_20260113_162502_layers7_batch6_kernel3_alpha0.08,91.75357818603516,19479.318359375,14.223000625829085,0.49415217839184306,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v6\previews\20260113_162502_layers7_batch6_kernel3_alpha0.08\MS30017_txt_20260113_162502_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30019_txt.h5,20260113_162502_layers7_batch6_kernel3_alpha0.08,denoised_20260113_162502_layers7_batch6_kernel3_alpha0.08,16.835079193115234,629.2518920898438,16.2096103117728,0.3797075170206483,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v6\previews\20260113_162502_layers7_batch6_kernel3_alpha0.08\MS30019_txt_20260113_162502_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30021_txt.h5,20260113_162502_layers7_batch6_kernel3_alpha0.08,denoised_20260113_162502_layers7_batch6_kernel3_alpha0.08,81.37384033203125,17049.169921875,16.2792084555894,0.47608748974804715,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v6\previews\20260113_162502_layers7_batch6_kernel3_alpha0.08\MS30021_txt_20260113_162502_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30023_txt.h5,20260113_162502_layers7_batch6_kernel3_alpha0.08,denoised_20260113_162502_layers7_batch6_kernel3_alpha0.08,161.0033416748047,70916.28125,17.678850095507922,0.5080116978472649,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v6\previews\20260113_162502_layers7_batch6_kernel3_alpha0.08\MS30023_txt_20260113_162502_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30025_txt.h5,20260113_162502_layers7_batch6_kernel3_alpha0.08,denoised_20260113_162502_layers7_batch6_kernel3_alpha0.08,419.6394958496094,324418.5,10.322400650597277,0.3987896797642274,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v6\previews\20260113_162502_layers7_batch6_kernel3_alpha0.08\MS30025_txt_20260113_162502_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30027_txt.h5,20260113_162502_layers7_batch6_kernel3_alpha0.08,denoised_20260113_162502_layers7_batch6_kernel3_alpha0.08,461.3858642578125,438523.25,11.540526462025477,0.4147665484406063,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v6\previews\20260113_162502_layers7_batch6_kernel3_alpha0.08\MS30027_txt_20260113_162502_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30029_txt.h5,20260113_162502_layers7_batch6_kernel3_alpha0.08,denoised_20260113_162502_layers7_batch6_kernel3_alpha0.08,1678.76416015625,4656786.0,10.877449335462208,0.31858878727594764,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v6\previews\20260113_162502_layers7_batch6_kernel3_alpha0.08\MS30029_txt_20260113_162502_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30031_txt.h5,20260113_162502_layers7_batch6_kernel3_alpha0.08,denoised_20260113_162502_layers7_batch6_kernel3_alpha0.08,857.8250122070312,1152484.0,10.706414879731497,0.4069085187399344,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v6\previews\20260113_162502_layers7_batch6_kernel3_alpha0.08\MS30031_txt_20260113_162502_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30033_txt.h5,20260113_162502_layers7_batch6_kernel3_alpha0.08,denoised_20260113_162502_layers7_batch6_kernel3_alpha0.08,626.650390625,523124.90625,12.987781034086336,0.5460687520324037,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v6\previews\20260113_162502_layers7_batch6_kernel3_alpha0.08\MS30033_txt_20260113_162502_layers7_batch6_kernel3_alpha0.08_comparison.png
