file,model_tag,dataset,mae,mse,psnr,ssim,preview
data\converted_h5\MS30013_txt.h5,20260109_115102_layers7_batch6_kernel3_alpha0.08,denoised_20260109_115102_layers7_batch6_kernel3_alpha0.08,94.64935302734375,36495.21875,16.35222139112809,0.4916498532175756,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v3\previews\20260109_115102_layers7_batch6_kernel3_alpha0.08\MS30013_txt_20260109_115102_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30015_txt.h5,20260109_115102_layers7_batch6_kernel3_alpha0.08,denoised_20260109_115102_layers7_batch6_kernel3_alpha0.08,93.58924865722656,28585.07421875,15.843159207004264,0.4742407407628549,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v3\previews\20260109_115102_layers7_batch6_kernel3_alpha0.08\MS30015_txt_20260109_115102_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30017_txt.h5,20260109_115102_layers7_batch6_kernel3_alpha0.08,denoised_20260109_115102_layers7_batch6_kernel3_alpha0.08,91.52945709228516,19435.5625,14.232767159571502,0.4950846554476389,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v3\previews\20260109_115102_layers7_batch6_kernel3_alpha0.08\MS30017_txt_20260109_115102_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30019_txt.h5,20260109_115102_layers7_batch6_kernel3_alpha0.08,denoised_20260109_115102_layers7_batch6_kernel3_alpha0.08,16.793081283569336,628.0675659179688,16.217792816321683,0.3802334783756362,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v3\previews\20260109_115102_layers7_batch6_kernel3_alpha0.08\MS30019_txt_20260109_115102_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30021_txt.h5,20260109_115102_layers7_batch6_kernel3_alpha0.08,denoised_20260109_115102_layers7_batch6_kernel3_alpha0.08,81.07978820800781,17007.05859375,16.289947381327423,0.47833878388810097,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v3\previews\20260109_115102_layers7_batch6_kernel3_alpha0.08\MS30021_txt_20260109_115102_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30023_txt.h5,20260109_115102_layers7_batch6_kernel3_alpha0.08,denoised_20260109_115102_layers7_batch6_kernel3_alpha0.08,160.4521484375,70757.125,17.68860772137636,0.5107453368549504,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v3\previews\20260109_115102_layers7_batch6_kernel3_alpha0.08\MS30023_txt_20260109_115102_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30025_txt.h5,20260109_115102_layers7_batch6_kernel3_alpha0.08,denoised_20260109_115102_layers7_batch6_kernel3_alpha0.08,418.2922668457031,322923.21875,10.342463157382376,0.4003724449225524,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v3\previews\20260109_115102_layers7_batch6_kernel3_alpha0.08\MS30025_txt_20260109_115102_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30027_txt.h5,20260109_115102_layers7_batch6_kernel3_alpha0.08,denoised_20260109_115102_layers7_batch6_kernel3_alpha0.08,460.1479187011719,437013.96875,11.555499996354099,0.4165490959134153,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v3\previews\20260109_115102_layers7_batch6_kernel3_alpha0.08\MS30027_txt_20260109_115102_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30029_txt.h5,20260109_115102_layers7_batch6_kernel3_alpha0.08,denoised_20260109_115102_layers7_batch6_kernel3_alpha0.08,1671.8309326171875,4632483.5,10.900173870456392,0.3226622340526624,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v3\previews\20260109_115102_layers7_batch6_kernel3_alpha0.08\MS30029_txt_20260109_115102_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30031_txt.h5,20260109_115102_layers7_batch6_kernel3_alpha0.08,denoised_20260109_115102_layers7_batch6_kernel3_alpha0.08,853.4496459960938,1144453.125,10.736784917935832,0.4102722342439716,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v3\previews\20260109_115102_layers7_batch6_kernel3_alpha0.08\MS30031_txt_20260109_115102_layers7_batch6_kernel3_alpha0.08_comparison.png
data\converted_h5\MS30033_txt.h5,20260109_115102_layers7_batch6_kernel3_alpha0.08,denoised_20260109_115102_layers7_batch6_kernel3_alpha0.08,621.5875244140625,516697.59375,13.041470027676352,0.5499529410746348,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v3\previews\20260109_115102_layers7_batch6_kernel3_alpha0.08\MS30033_txt_20260109_115102_layers7_batch6_kernel3_alpha0.08_comparison.png
