file,model_tag,dataset,mae,mse,psnr,ssim,preview,inference_noise,cutoff_idx,cutoff_energy,cutoff_axis
data\converted_h5\nbvt0005_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,0.4992693364620209,0.3974686563014984,35.77260886547171,0.9179916173261167,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0005_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,,,0
data\converted_h5\nbvt0006_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,4.2226457595825195,29.34848403930664,34.74842930474807,0.8240553231570745,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0006_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,409,41.04499816894531,0
data\converted_h5\nbvt0007_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,2.9350075721740723,14.07972240447998,36.538561338076335,0.8781850517997761,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0007_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,409,40.04499816894531,0
data\converted_h5\nbvt0008_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,2.214339256286621,8.609651565551758,35.9329162953664,0.8688139232503455,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0008_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,409,39.04499816894531,0
data\converted_h5\nbvt0009_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,2.001657724380493,6.935669898986816,34.60578029327693,0.8456487194910307,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0009_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,403,38.01499938964844,0
data\converted_h5\nbvt0011_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,24.498991012573242,996.5552368164062,34.70359605467451,0.7791585311646048,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0011_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,381,38.02399826049805,0
data\converted_h5\nbvt0012_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,14.641085624694824,360.7962646484375,35.72726480675696,0.838115709630797,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0012_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,364,36.00600051879883,0
data\converted_h5\nbvt0013_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,28.43337059020996,1305.18505859375,31.486535199215435,0.6620440185538964,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0013_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,389,35.055999755859375,0
data\converted_h5\nbvt0014_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,13.921842575073242,343.9218444824219,33.39972205732389,0.7897597535702011,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0014_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,389,34.055999755859375,0
data\converted_h5\nbvt0015_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,5.821956157684326,54.77090835571289,35.27903433838878,0.8657978772915668,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0015_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,389,33.055999755859375,0
data\converted_h5\nbvt0016_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,8.140389442443848,107.03010559082031,35.48495127967235,0.8555019161176848,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0016_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,389,32.055999755859375,0
data\converted_h5\nbvt0017_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,6.933292865753174,77.51181030273438,35.47646333169039,0.8685293688852384,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0017_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,389,31.055999755859375,0
data\converted_h5\nbvt0018_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,6.830694675445557,75.41841125488281,36.070422114625146,0.8766394977252995,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0018_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,389,30.055999755859375,0
data\converted_h5\nbvt0019_txt.h5,20260421_100727_layers7_batch6_kernel3_alpha0.08,denoised_20260421_100727_layers7_batch6_kernel3_alpha0.08,6.9394330978393555,78.82227325439453,34.96242554031245,0.8608431587862088,D:\ZhouHY\dccnn\dccnn-arpes-main\results_nbvt_v1_quick\previews\20260421_100727_layers7_batch6_kernel3_alpha0.08\nbvt0019_txt_20260421_100727_layers7_batch6_kernel3_alpha0.08_comparison.png,1,389,29.055999755859375,0
